Year;Vietnam;Thailand;Malaysia
1996;127273.144;295588.19;240004.9957
1997;133695.788;300754.973;245919.3852
1998;186688.169;400464.248;259140.1734
1999;175583.298;316589.116;160190.903
2000;155791.92;283870.041;171393.521
2001;159962.824;287255.602;176214.366
2002;187715.028;322454.08;199983.481
2003;190419.293;324192.72;195386.718
2004;229221.952;380171.266;216283.733
2005;232509.773;364315.701;246665.158
2006;234359.249;349980.871;240375.427
2007;256396.703;388568.002;250680.678
2008;255549.534;357708.275;256755.874
2009;266081.8482;363782.1054;277979.4156
2010;278994.36;421227.831;263676.106
2011;285091.0557;431312.3099;271818.8368
2012;310664.0693;440411.679;279098.3768
