"","NAME","CATEGORY","DATE","COMMENTS","PHOTO","Type","Type1","coords.x1","coords.x2","coords.x3","optional"
"1","Intersection 1","2","2017/01/07","Elevation 623",NA,NA,"C",104.0281289,22.2188544,622.02,TRUE
"2","Point 2","1","2017/01/07",NA,NA,NA,"C",104.0403026,22.2065577,685.31,TRUE
"3","Cam vang1","1","2017/01/07",NA,NA,NA,"C",104.0406306,22.2072987,826.29,TRUE
"4","Stream golden 3","1","2017/01/06","Final point",NA,"0","A",103.7695407,22.3477364,1829.26,TRUE
"5","Stream golden 4","1","2017/01/06",NA,NA,"0","A",103.7695409,22.3480659,1799.55,TRUE
"6","Stream golden 5","1","2017/01/06",NA,NA,"0","A",103.7699905,22.3484441,1868.81,TRUE
"7","Golden Stream 6","1","2017/01/06",NA,NA,"0","A",103.7705474,22.3486524,1883.41,TRUE
"8","Golden stream","1","2017/01/06",NA,NA,"0","A",103.7689208,22.3468644,1660.37,TRUE
"9","Golden Stream 1","1","2017/01/06",NA,NA,"0","A",103.7694163,22.3476079,1806.9,TRUE
"10","Stream Golden 2","1","2017/01/06",NA,NA,"0","A",103.7695818,22.3478563,1863.44,TRUE
"11","Point 1","1","2017/01/08","1580

Hat kl",NA,NA,"B",103.8891502,22.2591082,1581.59,TRUE
"12","point","1","2017/01/08","1567 

Seo my ty",NA,NA,"B",103.88056,22.2556951,1570.6,TRUE
"13","Point 4 river","2","2017/01/08","1617",NA,NA,"B",103.8762427,22.2546063,1617.68,TRUE
"14","Point 6","1","2017/01/08","1574",NA,NA,"B",103.8762557,22.2547026,1574.82,TRUE
"15","Point 9","1","2017/01/08","1531
Second site",NA,NA,"B",103.8789307,22.2542969,1537.48,TRUE
"16","point 10","1","2017/01/08","1554",NA,NA,"B",103.8789466,22.2542322,1554.32,TRUE
"17","Point 11","1","2017/01/08","1098",NA,NA,"B",103.891126,22.2954891,1098.5,TRUE
"18","Ta van","2","2017/01/08","1114",NA,NA,"B",103.8911651,22.2955193,1110.77,TRUE
"19","Ta van 2","2","2017/01/08","1123",NA,NA,"B",103.890903,22.2952061,1121.28,TRUE
"20","Point 9","1","2017/01/08","1531
Second site",NA,NA,"B",103.8789307,22.2542969,1537.48,TRUE
"21","point 10","1","2017/01/08","1554",NA,NA,"B",103.8789466,22.2542322,1554.32,TRUE
"22","Point 11","1","2017/01/08","1098",NA,NA,"B",103.891126,22.2954891,1098.5,TRUE
"23","Ta van","2","2017/01/08","1114",NA,NA,"B",103.8911651,22.2955193,1110.77,TRUE
"24","Ta van 2","2","2017/01/08","1123",NA,NA,"B",103.890903,22.2952061,1121.28,TRUE
"25","Point 1","1","2017/01/08","1580

Hat kl",NA,NA,"B",103.8891502,22.2591082,1581.59,TRUE
"26","point","1","2017/01/08","1567 

Seo my ty",NA,NA,"B",103.88056,22.2556951,1570.6,TRUE
"27","Point 4 river","2","2017/01/08","1617",NA,NA,"B",103.8762427,22.2546063,1617.68,TRUE
