Perfecture,X_2011
Aichi,9.5
Akita,6.2
Aomori,7
Chiba,8.2
Ehime,8
Fukui,8.5
Fukuoka,9.2
Fukushima,7.6
Gifu,8.3
Gunma,8
Hiroshima,9
Hokkaido,7.2
Hyogo,8.6
Ibaraki,8
Ishikawa,8.3
Iwate,7.1
Kagawa,8.4
Kagoshima,9
Kanagawa,8.5
Kochi,6.9
Kumamoto,8.9
Kyoto,8
Mie,8.3
Miyagi,7.8
Miyazaki,9
Nagano,8
Naoasaki,8.3
Nara,7.5
Niigata,7.5
Oita,8.4
Okayama,8.7
Okinawa,12.1
Osaka,8.5
Saga,9
Saitama,8.2
Shiga,9.6
Shimane,7.9
Shizuoka,8.4
Tochigi,8.1
Tokushima,7.6
Tokyo,8.2
Tottori,8.5
Toyama,7.3
Wakayama,7.5
Yamagata,7.4
Yamaguchi,7.8
Yamanashi,7.6
