"Mean_A_QTDQ","Mean_QTDQ_B","Mean_QTDQ_D","Mean_QTDQ_E","Mean_QTDQ_F","Mean_QTDQ_G","Y_mean"
3.66666666666667,4.5,5,4,4.5,3,3.5
4.66666666666667,5,4,4,4,3,3.5
4.66666666666667,4.5,3,5,4,3.5,3.75
4.66666666666667,3,5,3,3.5,3,3.13
5,4.5,3,5,5,4,3.75
4.66666666666667,5,4,4,4,3,3.63
4.66666666666667,4.5,4,4,3,5,3.5
3.66666666666667,3.5,3,4,3.5,3,3.38
4.66666666666667,4,5,4,3.5,4,3.75
4.66666666666667,4.5,5,5,3.5,4,3.63
4.66666666666667,4,4,3,3.5,5,3.38
4.66666666666667,4.5,5,5,3.5,3.5,3.5
3.66666666666667,5,3,5,4.5,4,3.88
3.66666666666667,4,5,4,4,3.5,3.5
5,5,4,5,4,4,4.63
4.66666666666667,4.5,3,5,3,3,3.5
4.66666666666667,5,3,4,2.5,4,3.25
4.66666666666667,5,3,5,3.5,3,3.75
5,5,4,4,4,5,4.5
5,4,4,4,4,5,4.25
5,4.5,5,4,4.5,3.5,4.38
3.33333333333333,5,3,3,3,4,3.13
5,4.5,4,5,3,5,3.38
4,5,3,4,3.5,3,3.25
4.33333333333333,4.5,4,4,3.5,4,3.88
4.33333333333333,4,3,3,3,2.5,3.25
2.66666666666667,3,3,4,3.5,3,3.25
4.66666666666667,3.5,3,5,3.5,3,3.5
4.66666666666667,3.5,3,4,3,4.7,3.38
4.66666666666667,4,5,4,3,3,3.38
4.66666666666667,4,3,4,3.5,3,3.25
4.66666666666667,4.5,3,4,3,4.5,3.5
4.66666666666667,4,4,4,3.5,3,3.38
4.66666666666667,4,3,5,3,3,3.5
5,5,4,4,4,4,4.25
4.66666666666667,4,3,3,5,3,3.38
4.66666666666667,3.5,4,4,3,3,3.38
4.33333333333333,5,3,3,5,3,3.13
4.66666666666667,4,3,4,5,3,3.5
4.33333333333333,5,3,3,3,4,3.13
4.33333333333333,4,3,4,5,5,3.25
4.66666666666667,4.5,4.5,4,3,5,3.38
4.66666666666667,4,3,4,3,3,3.38
4.66666666666667,4,5,3,5,5,3.25
4.66666666666667,4,4,4,3,5,3.38
4.66666666666667,4,3,4,5,3,3.25
4.66666666666667,4,4,3,3,4,3.13
4.66666666666667,5,4,4,3.5,3,3.63
4.66666666666667,5,3,3,5,3,3.13
4.66666666666667,4,4,4,3,2.5,3.38
