"x","y","Elevation"
104.0281289,22.2188544,678
104.0403026,22.2065577,889
104.0406306,22.2072987,869
103.7695407,22.3477364,1915
103.7695409,22.3480659,1906
103.7699905,22.3484441,1894
103.7705474,22.3486524,1910
103.7689208,22.3468644,1915
103.7694163,22.3476079,1915
103.7695818,22.3478563,1915
103.8891502,22.2591082,1591
103.88056,22.2556951,1583
103.8762427,22.2546063,1607
103.8762557,22.2547026,1607
103.8789307,22.2542969,1593
103.8789466,22.2542322,1593
103.891126,22.2954891,1153
103.8911651,22.2955193,1153
103.890903,22.2952061,1157
103.8789307,22.2542969,1593
103.8789466,22.2542322,1593
103.891126,22.2954891,1153
103.8911651,22.2955193,1153
103.890903,22.2952061,1157
103.8891502,22.2591082,1591
103.88056,22.2556951,1583
103.8762427,22.2546063,1607
